Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
45	-2.10011	2	0	0	1	0	0	1	0	0	5.29	2.09	1.685	11	5.5	129.315	-0.75	-0.9	0.030375	-3.100297	6.5	6	7	0	0
46	-1.70865	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.241838	-3.042494	5	5	0	0	0
47	-1.79265	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.236184	-2.939699	5	5	0	0	0
48	-1.44485	2	0	0	0	0	0	2	0	0	5.93	2.28	2.13	20	10	195.08	-1	-1.2	0.26438	-3.2092	6.5	5	8	0	0
49	-2.22854	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	0.011514	-2.939872	7	7	0	0	0
5	-0.42891	1	1	0	0	0	0	0	0	0	4.26	1.93	1.3	1	1	107.87	-0.2	-0.3	-0.066302	-3.422503	5	5	0	0	0
50	-2.13787	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	-0.044156	-2.638533	7	7	0	0	0
51	-2.54233	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.24022	-3.606558	8	8	0	0	0
52	-1.97187	2	0	0	0	0	1	0	0	1	4.965	2.2	0.805	18	9	103.745	-1.1	-1.3	-0.07023	-3.009868	7.5	10	5	0	0
53	-2.04566	2	0	0	0	1	0	1	0	0	5.8	2.24	1.845	19	9.5	193.65	-1.1	-1.3	0.076018	-3.606763	7.5	8	7	0	0
6	-0.44881	1	1	0	0	0	0	0	0	0	4.26	1.93	1.3	1	1	107.87	-0.2	-0.3	-0.135755	-3.505653	3	3	0	0	0
7	-0.42658	1	1	0	0	0	0	0	0	0	4.26	1.93	1.3	1	1	107.87	-0.2	-0.3	-0.155135	-3.580608	4	4	0	0	0
8	-0.62982	1	1	0	0	0	0	0	0	0	4.26	1.93	1.3	1	1	107.87	-0.2	-0.3	-0.072733	-3.533158	5	5	0	0	0
9	-0.46019	1	1	0	0	0	0	0	0	0	4.26	1.93	1.3	1	1	107.87	-0.2	-0.3	-0.118285	-3.449802	6	6	0	0	0

